x,y
1388.5644,1746.354
1108.818,1504.53
1123.1076,1427.586
901.0692,1645.0902
709.8084,1634.5104
901.6188,1535.8572
887.604,1343.2224
1018.134,1209.12
994.776,1205.8224
1157.1828,1266.828
1119.2604,1156.7706
1162.6788,1185.4872
840.0636,954.6552
931.1598,1128.8784
896.9472,1093.017
865.8948,916.1832
931.1598,890.4894
830.8578,970.3188
980.0742,1211.868
820.0032,1158.969
1103.4594,1005.2184
1240.9968,1165.4268
1584.4968,1230.6918
1577.9016,1369.3284
1483.5078,1526.3766
1525.5522,1534.758
1512.774,1552.2078
1612.389,1485.0192
1466.8824,1214.4786
1437.6162,1302.1398
1071.1704,1537.3686
1083.1242,1522.6668
1129.9776,1600.9848
1235.226,1947.9198
1021.7064,2074.6026
1194.1434,1984.6056
1366.9926,1952.1792
1541.4906,1767.7884
1230.0048,1717.0878
1190.571,1797.4668
1170.0984,1921.8138
1283.8656,2199.774
1479.5232,2140.4172
1445.448,2208.5676
1240.1724,2086.0068
1415.3574,2052.4812
1403.541,2177.6526
1472.1036,2122.6926
1313.9562,2276.5806
1336.902,2256.108
1506.3162,2170.5078
1452.5928,2035.8558
1416.594,2135.6082
1546.9866,2517.4428
1967.2932,2546.5716
1707.882,2549.5944
1299.9414,2575.9752
1449.8448,2857.233
1300.6284,2896.6668
1276.7208,2884.8504
1504.3926,3030.2196
1769.5746,3095.2098
1947.3702,3195.924
2121.8682,2874.1332
2232.4752,2944.8942
2451.903,2991.198
2547.2586,3103.4538
2645.2248,3099.1944
2627.6376,3084.4926
2721.6192,2953.8252
2655.255,2687.6814
2669.9568,2829.6156
2660.064,2919.6126
2936.5128,2788.3956
2748.9618,2697.4368
2522.664,2838.5466
2521.977,2814.2268
2468.1162,2978.2824
2585.0436,2914.6662
2492.436,2785.9224
2390.4852,2852.0118
2411.6448,2771.4954
2561.823,2389.1112
2624.6148,2434.4532
2722.9932,2368.089
2966.1912,2389.5234
3125.85,2284.1376
2994.0834,2474.4366
2845.0044,2298.8394
2706.6426,2132.0358
2788.2582,2171.7444
2497.5198,2594.9364
2008.6506,2784.411
2089.5792,2562.7848
2110.464,2497.5198
2118.2958,2615.409
2147.9742,2469.6276
2171.3322,2393.0958
2202.9342,2392.9584
2316.564,2305.1598
2354.4864,2419.3392
2057.7024,2309.5566
2109.3648,2154.7068
2205.8196,2110.464
2160.2028,2016.0702
1784.2764,2267.6496
1716.6756,2289.6336
1636.434,1934.4546
1312.0326,1876.197
1070.6208,2016.7572
1103.8716,1924.8366
978.0132,1978.2852
857.9256,1908.2112
819.3162,1909.0356
670.7868,2010.4368
620.9106,1839.786
660.7566,1647.1512
430.4742,1301.5902
478.152,1252.5384
638.4978,1196.2044
667.764,1056.4686
537.234,1195.9296
444.0768,1206.2346
507.4182,945.8616
